region,market,week_ending,type,avg_selling_price,total_units_th
South,Louisville,2024-02-11,Conventional,0.853469839,202.14
South,South Carolina,2018-06-24,Conventional,1.1,505.631
Northeast,Pittsburgh,2021-03-07,Organic,1.255118754,18.29
South,Orlando,2020-01-12,Organic,1.13,9.915
South,Louisville,2017-09-24,Conventional,1.93,408.852
West,Denver,2022-05-22,Organic,2.077449122,54.473
South,Atlanta,2017-12-03,Conventional,1.07,504.933
West,Las Vegas,2023-03-12,Conventional,0.897426251,450.393
Northeast,Pittsburgh,2020-03-22,Conventional,1.35,144.917
West,Spokane,2023-11-19,Organic,2.195060393,3.875
South,Richmond/Norfolk,2019-05-05,Conventional,1.15,397.198
South,Nashville,2021-12-12,Conventional,1.033850117,288.681
Northeast,Pittsburgh,2023-02-05,Conventional,1.049399465,215.459
Northeast,Northern New England,2023-08-20,Conventional,1.125863815,454.43
South,Jacksonville,2021-02-28,Conventional,0.869312787,294.646
West,West Tex/New Mexico,2023-01-09,Organic,1.137258421,35.349
Midwest,Chicago,2024-11-03,Conventional,0.923916721,1669.366
Northeast,Syracuse,2024-09-15,Organic,1.438206322,9.954
West,San Diego,2019-12-01,Conventional,1.12,461.97
West,Seattle,2022-05-22,Organic,2.259517428,57.239
West,San Diego,2024-03-24,Conventional,1.164347,585.693
Midwest,Columbus,2021-04-25,Organic,1.624628854,17.829
Northeast,Boston,2018-03-18,Organic,1.83,34.81
South,South Carolina,2021-07-18,Organic,1.458704018,33.7
South,Nashville,2017-07-30,Conventional,1.14,217.775
South,Roanoke,2021-04-04,Organic,1.175370816,19.01
West,Spokane,2018-10-07,Organic,2.04,5.69
Midwest,Columbus,2022-09-25,Conventional,1.06597087,227.046
Northeast,Northern New England,2021-10-03,Organic,2.045822285,13.532
Midwest,Chicago,2023-09-17,Conventional,0.816836164,1468.63
South,Jacksonville,2020-07-26,Organic,1.45,4.676
Midwest,Chicago,2020-07-26,Conventional,1.29,997.279
Northeast,Hartford/Springfield,2020-08-09,Organic,2.05,12.85
West,Seattle,2023-08-06,Conventional,1.67584362,446.495
Midwest,St. Louis,2017-10-01,Organic,1.41,6.359
South,Atlanta,2017-03-05,Organic,0.62,32.293
Midwest,Chicago,2019-12-29,Conventional,0.9,765.693
Midwest,Grand Rapids,2019-07-21,Organic,1.7,6.914
West,Boise,2017-06-25,Organic,2.09,2.374
South,Raleigh/Greensboro,2019-09-08,Conventional,1.26,396.144
South,Raleigh/Greensboro,2019-08-18,Organic,2.64,15.409
West,Portland,2024-08-25,Organic,2.55959275,34.764
Northeast,Boston,2024-02-11,Conventional,1.138729006,818.274
Northeast,Northern New England,2020-01-12,Conventional,1.14,568.596
South,Charlotte,2023-06-18,Organic,1.295482313,36.104
Northeast,Buffalo/Rochester,2021-11-14,Organic,1.596874119,15.277
Northeast,Hartford/Springfield,2023-01-01,Organic,1.702719025,18.697
West,Denver,2021-06-20,Conventional,1.088059912,1017.956
Northeast,New York,2019-09-15,Organic,1.79,91.817
West,Los Angeles,2019-01-07,Organic,1.56,129.839
Northeast,Syracuse,2019-04-14,Organic,1.63,4.367
West,Sacramento,2022-10-30,Organic,1.860783914,14.892
Northeast,New York,2020-04-19,Organic,1.84,121.339
South,Tampa,2018-06-03,Organic,1.44,10.055
Northeast,Syracuse,2019-09-22,Organic,1.41,3.619
Northeast,Hartford/Springfield,2024-11-24,Conventional,1.076716837,400.878
South,Louisville,2023-08-27,Organic,1.666185945,11.659
Northeast,Philadelphia,2017-11-05,Conventional,1.4,384.629
Midwest,Indianapolis,2023-09-24,Conventional,0.980576538,254.865
Midwest,St. Louis,2022-05-15,Conventional,1.229765288,250.421
Northeast,Pittsburgh,2018-04-22,Organic,1.35,18.224
Northeast,Buffalo/Rochester,2022-05-29,Organic,1.666479949,19.111
West,Portland,2018-04-08,Conventional,0.81,1121.568
West,Los Angeles,2021-12-26,Organic,1.728184164,170.201
South,Jacksonville,2021-04-18,Organic,1.407185614,17.103
Midwest,Cincinnati/Dayton,2019-07-14,Organic,2.22,23.642
West,Seattle,2022-03-06,Conventional,1.718091059,505.753
South,Miami/Ft. Lauderdale,2017-01-02,Organic,1.21,5.254
Northeast,Philadelphia,2018-03-11,Conventional,1.32,486.493
West,Sacramento,2021-12-12,Conventional,1.592768903,347.54
South,Jacksonville,2022-04-17,Conventional,1.428001587,213.202
South,Baltimore/Washington,2022-03-27,Organic,1.744014463,72.725
South,Roanoke,2018-11-11,Conventional,0.87,190.317
South,Houston,2023-10-01,Organic,1.182595769,27.614
Midwest,Cincinnati/Dayton,2018-06-24,Conventional,0.89,369.837
West,Sacramento,2023-12-03,Conventional,1.001453101,481.332
West,West Tex/New Mexico,2023-05-07,Organic,1.081186927,36.805
South,Raleigh/Greensboro,2022-06-12,Organic,1.775325135,29.315
South,Nashville,2021-07-25,Conventional,0.922352227,303.155
Midwest,Detroit,2022-07-24,Conventional,1.278432071,435.462
West,Los Angeles,2020-08-23,Organic,1.65,159.342
Northeast,Syracuse,2024-02-25,Organic,1.128743971,11.261
West,San Diego,2022-10-02,Conventional,1.296899939,528.009
South,Orlando,2018-08-19,Conventional,1.22,496.164
Northeast,Syracuse,2024-02-18,Organic,1.095992619,12.386
Northeast,Harrisburg/Scranton,2022-03-06,Conventional,1.360057657,386.617
West,Las Vegas,2022-07-10,Organic,1.850975189,15.021
Northeast,Albany,2022-07-24,Conventional,1.378322336,118.793
West,Portland,2022-08-21,Organic,2.020296324,44.982
Midwest,Wichita,2022-03-13,Organic,1.557772635,4.685
West,Phoenix/Tucson,2019-09-15,Organic,1.95,17.311
South,Miami/Ft. Lauderdale,2021-05-30,Organic,1.33103093,72.977
Northeast,Harrisburg/Scranton,2017-01-02,Conventional,1.35,235.431
West,San Francisco,2022-07-24,Conventional,1.553767465,715.177
Midwest,Cincinnati/Dayton,2021-05-09,Organic,1.759381754,21.076
South,Orlando,2024-06-02,Conventional,1.192045949,756.015
Northeast,New York,2019-11-10,Organic,1.72,71.86
Northeast,Albany,2020-03-29,Conventional,1.08,161.995
South,Tampa,2023-12-10,Organic,1.290015236,32.829
West,Seattle,2020-01-12,Organic,1.81,41.95
Northeast,Pittsburgh,2020-07-19,Conventional,0.9,204.793
West,Spokane,2017-10-01,Conventional,1.83,129.577
West,Portland,2024-01-28,Conventional,1.141392561,624.782
West,Phoenix/Tucson,2017-11-19,Conventional,0.6,1427.367
South,Orlando,2017-07-09,Conventional,1.4,343.077
West,Portland,2023-10-15,Organic,2.147493558,31.158
West,Phoenix/Tucson,2024-06-23,Organic,1.370245437,58.599
South,Richmond/Norfolk,2021-04-18,Organic,1.123669829,43.402
South,South Carolina,2019-03-17,Conventional,0.94,580.639
West,Denver,2023-06-04,Conventional,1.122615904,999.929
West,Denver,2017-04-02,Organic,0.84,68.628
South,Raleigh/Greensboro,2022-02-27,Conventional,1.258578084,469.444
Northeast,Hartford/Springfield,2020-01-26,Conventional,1.37,348.109
Northeast,Buffalo/Rochester,2021-06-06,Conventional,1.143005294,253.923
West,Spokane,2023-05-14,Conventional,1.191760905,78.913
Midwest,Cincinnati/Dayton,2017-12-24,Conventional,1.36,159.239
Midwest,Chicago,2021-01-17,Conventional,0.956241521,1497.027
Northeast,Northern New England,2023-01-09,Organic,1.851939312,15.781
Northeast,Syracuse,2020-02-16,Organic,1.45,3.825
West,Boise,2024-06-23,Conventional,1.558554288,111.132
Northeast,Northern New England,2023-08-27,Organic,1.735002351,17.818
Northeast,Pittsburgh,2019-05-19,Organic,1.56,10.977
West,Boise,2021-09-19,Organic,1.97117329,7.9
South,Atlanta,2017-10-29,Conventional,1.28,493.922
West,Boise,2022-02-27,Conventional,1.427658845,131.258
Northeast,Hartford/Springfield,2022-02-06,Organic,1.635404862,28.945
West,San Diego,2019-07-14,Conventional,1.77,461.965
Northeast,Albany,2018-08-19,Conventional,1.47,101.389
West,Denver,2017-11-12,Organic,1.99,16.86
South,Roanoke,2019-11-10,Conventional,1.16,154.019
Midwest,Detroit,2023-12-31,Organic,1.472470563,19.124
Northeast,Northern New England,2022-05-29,Conventional,1.565370295,489.626
Northeast,Hartford/Springfield,2021-06-27,Organic,1.743479358,27.239
West,Sacramento,2023-04-30,Organic,1.10115486,50.888
Midwest,Detroit,2022-12-25,Organic,1.314279787,24.729
South,Nashville,2023-08-13,Conventional,1.051467938,325.197
West,Los Angeles,2017-07-30,Organic,2.1,67.791
South,Louisville,2018-05-27,Conventional,1.09,124.448
Northeast,Pittsburgh,2024-02-11,Conventional,0.82958572,293.964
West,Portland,2018-07-08,Organic,1.65,44.194
Northeast,Buffalo/Rochester,2024-03-03,Conventional,0.917499,284.12
Northeast,Hartford/Springfield,2019-05-12,Conventional,1.56,414.028
South,Houston,2017-06-25,Conventional,0.82,1352.319
West,Las Vegas,2024-11-03,Conventional,1.323017324,373.25
Northeast,Syracuse,2017-06-04,Conventional,1.65,64.256
Midwest,Indianapolis,2024-12-22,Organic,1.76318159,11.798
South,South Carolina,2023-03-19,Conventional,0.91901659,632.931
Northeast,Albany,2017-11-26,Organic,1.57,2.842
South,Richmond/Norfolk,2019-02-03,Organic,1.16,19.682
South,Houston,2018-07-15,Organic,1.31,32.34
West,West Tex/New Mexico,2019-04-07,Conventional,0.82,1101.707
Northeast,Albany,2018-01-14,Conventional,1.42,95.247
West,San Diego,2017-12-03,Organic,1.79,13.477
South,Richmond/Norfolk,2019-07-21,Organic,1.46,19.797
Northeast,Albany,2019-09-29,Organic,1.49,2.881
Northeast,Harrisburg/Scranton,2017-05-28,Conventional,1.56,275.489
West,Las Vegas,2017-07-30,Conventional,1.29,288.906
Midwest,Cincinnati/Dayton,2017-04-09,Organic,0.86,24.185
South,New Orleans/Mobile,2019-05-26,Organic,1.05,9.079
Northeast,Boston,2018-03-04,Organic,1.92,23.891
Midwest,Wichita,2024-12-01,Conventional,1.123533782,90.181
Midwest,Columbus,2024-12-15,Organic,1.882787161,14.085
South,Richmond/Norfolk,2021-05-30,Conventional,1.098912909,382.58
South,Orlando,2019-05-26,Conventional,1.29,489.171
South,Orlando,2020-01-06,Conventional,0.87,705.585
South,Jacksonville,2021-12-05,Conventional,1.061693965,194.535
Midwest,St. Louis,2023-12-10,Organic,1.259026609,12.432
South,Jacksonville,2022-10-16,Organic,0.906422245,25.649
West,Spokane,2018-02-11,Organic,1.66,4.1
South,New Orleans/Mobile,2017-08-27,Organic,1.5,7.633
West,Portland,2024-07-28,Organic,2.480182069,38.236
South,Charlotte,2019-03-24,Organic,1.38,17.512
Northeast,Syracuse,2018-09-02,Conventional,1.31,79.125
Northeast,New York,2020-02-23,Organic,1.73,64.225
Northeast,New York,2022-05-01,Organic,1.798895291,132.318
West,Portland,2017-11-05,Organic,2.45,17.024
South,Dallas/Ft. Worth,2017-03-26,Conventional,0.91,1282.797
South,Atlanta,2023-01-22,Organic,1.042442063,80.96
West,Seattle,2018-04-22,Organic,1.3,138.911
Northeast,Syracuse,2023-10-08,Organic,1.35747145,7.602
South,Nashville,2023-12-03,Organic,1.509308361,23.718
West,West Tex/New Mexico,2019-01-13,Organic,1.59,19.215
West,Seattle,2017-04-16,Conventional,1.09,682.387
South,Charlotte,2019-12-22,Organic,1.97,9.558
Northeast,Hartford/Springfield,2020-02-16,Organic,2.07,10.349
West,West Tex/New Mexico,2019-10-13,Conventional,0.89,931.558
West,Spokane,2020-02-02,Organic,1.56,5.513
Midwest,Columbus,2023-04-02,Conventional,0.943466672,292.194
West,Portland,2023-12-24,Organic,2.098489861,33.569
Northeast,Buffalo/Rochester,2022-10-30,Organic,1.711967849,13.101
Midwest,Cincinnati/Dayton,2018-03-25,Conventional,1.08,277.268
South,Richmond/Norfolk,2023-01-01,Conventional,0.970710052,331.148
West,San Francisco,2017-07-23,Organic,2.44,16.832
South,Louisville,2018-07-01,Conventional,1.02,137.763
South,Orlando,2018-09-09,Conventional,1.29,417.618
Northeast,Albany,2023-09-24,Organic,1.450616448,5.18
Northeast,Albany,2020-05-03,Conventional,1.24,167.927
South,Miami/Ft. Lauderdale,2021-08-08,Conventional,1.109531908,1060.982
West,Spokane,2024-03-24,Organic,1.756088,5.934
West,Sacramento,2022-12-18,Conventional,1.333387778,378.8
West,Boise,2022-01-02,Conventional,1.145688273,125.544
South,Tampa,2017-05-14,Organic,1.96,4.947
South,Atlanta,2020-06-28,Conventional,0.95,880.417
Northeast,Northern New England,2018-01-14,Organic,1.46,22.638
Midwest,Chicago,2022-03-06,Organic,1.656547261,57.279
Midwest,Indianapolis,2018-06-03,Conventional,1.17,210.348
South,Charlotte,2022-09-25,Conventional,1.16955992,335.024
Northeast,Buffalo/Rochester,2022-05-15,Organic,1.660638947,18.735
South,Baltimore/Washington,2017-09-17,Organic,2.65,1.492
South,Houston,2023-07-23,Organic,1.243706086,27.37
Northeast,Syracuse,2024-09-15,Conventional,1.106278863,108.934
Midwest,St. Louis,2020-05-31,Conventional,0.96,319.975
Midwest,St. Louis,2021-01-11,Conventional,0.734030833,332.564
South,Baltimore/Washington,2017-04-02,Organic,1.97,23.195
West,Denver,2017-10-01,Conventional,1.88,215.841
West,San Diego,2018-09-23,Conventional,1.31,431.897
West,West Tex/New Mexico,2019-07-14,Conventional,1.27,772.069
West,San Diego,2024-09-01,Conventional,1.208812942,637.652
South,Dallas/Ft. Worth,2023-01-01,Organic,1.202374468,43.803
Midwest,Columbus,2019-04-07,Organic,1.6,6.029
West,Portland,2017-07-23,Organic,2.35,28.249
South,Roanoke,2021-10-03,Conventional,1.02010329,190.961
South,Dallas/Ft. Worth,2020-06-21,Organic,1.27,60.231
West,Seattle,2024-07-21,Organic,2.891291473,79.812
Midwest,Grand Rapids,2022-05-08,Organic,1.354715142,17.644
Midwest,Chicago,2018-10-21,Organic,1.72,52.336
Northeast,Boston,2020-03-01,Conventional,1.4,734.101
Northeast,Buffalo/Rochester,2018-02-11,Conventional,1.27,151.058
Midwest,Columbus,2022-02-27,Conventional,1.141338743,289.868
West,West Tex/New Mexico,2019-06-02,Organic,1.63,15.215
South,Atlanta,2024-07-14,Conventional,1.363541738,777.313
West,Boise,2023-02-05,Organic,1.460761884,8.496
Midwest,Indianapolis,2018-06-17,Conventional,1.16,216.741
Northeast,Boston,2022-08-14,Conventional,1.455850348,599.486
South,Jacksonville,2024-08-25,Conventional,1.174275453,260.942
Northeast,Harrisburg/Scranton,2023-03-19,Conventional,1.019457711,483.565
South,New Orleans/Mobile,2024-07-07,Organic,1.386385845,12.084
West,San Francisco,2021-01-31,Organic,1.908470473,77.248
Northeast,Northern New England,2018-04-08,Conventional,1.09,703.302
Northeast,Syracuse,2020-10-11,Organic,1.43,5.226
South,Richmond/Norfolk,2020-04-05,Conventional,1.01,430.214
Midwest,Chicago,2018-07-15,Conventional,1.22,931.628
Northeast,Philadelphia,2024-04-21,Organic,1.15198,81.839
Midwest,Chicago,2021-02-14,Organic,1.231316412,100.744
South,Jacksonville,2020-06-14,Organic,1.27,4.834
Northeast,Hartford/Springfield,2022-10-09,Organic,1.646269603,24.017
Northeast,Syracuse,2021-04-18,Organic,1.612826618,6.819
South,South Carolina,2020-09-13,Organic,1.48,18.779
South,Charlotte,2023-07-30,Conventional,1.267974037,396.552
South,Houston,2019-09-08,Organic,1.67,24.415
West,Phoenix/Tucson,2023-09-03,Organic,1.499732963,36.964
Northeast,Hartford/Springfield,2022-02-13,Organic,1.607079736,25.777
Northeast,Boston,2024-07-07,Conventional,1.397643059,667.661
South,Dallas/Ft. Worth,2017-07-09,Conventional,0.84,1514.5
South,Atlanta,2023-02-26,Conventional,0.913469129,865.946
Northeast,Pittsburgh,2023-12-17,Organic,1.20340919,10.797
South,Richmond/Norfolk,2023-07-30,Conventional,1.187353373,293.671
West,Boise,2017-09-24,Organic,1.56,31.133
West,Sacramento,2018-09-16,Conventional,1.51,403.569
West,Spokane,2021-10-17,Conventional,1.387058722,69.196
South,Orlando,2022-06-05,Conventional,1.463547129,514.424
Northeast,Philadelphia,2021-04-04,Conventional,1.047899111,826.335
Northeast,Syracuse,2017-10-29,Organic,1.35,7.074
West,Spokane,2021-11-28,Organic,2.07278454,3.897
Midwest,Indianapolis,2017-06-11,Conventional,0.98,224.874
South,Nashville,2022-09-04,Organic,1.613832113,19.631
Northeast,Hartford/Springfield,2018-08-26,Conventional,1.42,345.296
South,Roanoke,2019-06-09,Conventional,1.02,211.272
Midwest,Wichita,2021-07-11,Conventional,0.884746251,122.678
South,Richmond/Norfolk,2018-09-09,Organic,1.46,18.662
Midwest,Chicago,2021-07-04,Conventional,1.242235122,1150.76
South,Atlanta,2018-04-01,Organic,1.6,20.105
Midwest,Wichita,2023-12-03,Organic,1.172268602,3.571
Midwest,Indianapolis,2023-02-26,Organic,1.403175118,13.581
South,Tampa,2020-07-19,Organic,1.9,6.002
South,Jacksonville,2021-04-25,Conventional,1.149124358,265.681
South,South Carolina,2022-01-23,Organic,1.374475051,41.901
West,San Diego,2018-07-29,Conventional,0.99,584.4
West,Boise,2018-04-01,Organic,1.82,2.246
West,Spokane,2024-03-24,Conventional,1.282229,79.797
Northeast,Boston,2020-03-15,Conventional,1.49,822.21
South,Dallas/Ft. Worth,2020-06-21,Conventional,0.79,1966.964
South,Jacksonville,2021-09-26,Conventional,1.214113859,221.456
West,San Francisco,2019-09-08,Conventional,1.65,901.992
West,Las Vegas,2021-11-07,Conventional,0.971654043,446.34
South,Jacksonville,2024-07-07,Organic,1.869549488,11.784
Northeast,Hartford/Springfield,2017-07-09,Organic,2.67,11.843
South,Dallas/Ft. Worth,2023-07-16,Conventional,1.004533086,1386.396
Northeast,Harrisburg/Scranton,2017-02-05,Organic,1.83,8.211
West,Denver,2023-11-19,Conventional,1.285579677,744.638
West,Denver,2021-10-31,Conventional,1.237935918,759.494
Midwest,Chicago,2018-12-02,Conventional,1.68,469.586
Northeast,Syracuse,2019-05-05,Conventional,1.39,95.584
Midwest,Columbus,2017-05-21,Organic,1.44,9.531
West,Spokane,2021-01-31,Organic,1.670978638,8.907
South,Richmond/Norfolk,2022-01-10,Conventional,0.97831437,394.96
South,Louisville,2023-01-09,Organic,1.59631089,8.195
South,Baltimore/Washington,2024-02-04,Organic,1.267925016,106.24
West,Denver,2024-01-21,Organic,1.201836251,60.448
South,Houston,2019-09-22,Organic,1.71,19.038
South,Richmond/Norfolk,2020-01-06,Conventional,0.83,364.863
Northeast,Boston,2021-05-09,Organic,1.798708824,44.788
West,Sacramento,2022-06-05,Organic,1.992204249,27.812
West,Denver,2022-06-19,Organic,2.034945153,50.3
South,Nashville,2021-07-25,Organic,1.508041146,22.571
South,Raleigh/Greensboro,2021-08-01,Conventional,1.001099563,511.785
West,Portland,2024-08-11,Organic,2.405042277,40.159
Midwest,Grand Rapids,2021-02-28,Conventional,0.863599453,287.819
West,Las Vegas,2024-09-15,Organic,1.755656122,24.541
West,Denver,2024-11-24,Organic,1.677193368,51.134
West,Seattle,2017-01-15,Organic,1.25,48.314
Northeast,Boston,2023-11-12,Organic,1.605843438,32.959
Midwest,Grand Rapids,2022-02-13,Conventional,0.967526814,325.627
West,Denver,2024-09-08,Conventional,1.492781341,908.321
West,San Francisco,2022-01-10,Conventional,1.234038057,899.5
Northeast,Philadelphia,2023-04-16,Organic,1.314917843,41.188
Northeast,New York,2024-12-01,Conventional,1.366999511,1833.707
Northeast,Philadelphia,2021-06-06,Organic,1.674787911,32.211
Northeast,Harrisburg/Scranton,2021-08-08,Organic,1.468235447,18.135
West,Seattle,2017-08-20,Organic,2.87,24.671
South,South Carolina,2018-03-11,Conventional,1.13,482.066
South,Tampa,2017-03-05,Organic,2.61,3.706
South,South Carolina,2018-03-04,Organic,1.44,16.469
West,Spokane,2021-06-13,Organic,2.029731208,5.177
South,South Carolina,2020-08-30,Conventional,0.95,590.671
South,Charlotte,2023-07-30,Organic,1.409479405,38.262
West,Denver,2019-02-03,Organic,1.44,27.803
South,Miami/Ft. Lauderdale,2020-08-02,Conventional,0.99,933.431
South,Houston,2022-01-30,Conventional,1.088125732,950.123
Midwest,Wichita,2024-12-08,Conventional,1.039524856,104.238
South,Charlotte,2018-02-11,Organic,1.92,11.217
Northeast,New York,2023-03-05,Organic,1.570563363,125.78
West,Spokane,2024-09-15,Organic,2.650107647,5.173
South,Orlando,2018-11-04,Organic,1.52,9.141
South,Baltimore/Washington,2018-01-07,Conventional,1.5,771.314
South,Orlando,2017-08-27,Conventional,1.57,296.757
South,New Orleans/Mobile,2017-01-08,Organic,1.26,5.078
West,Sacramento,2020-04-19,Conventional,1.36,552.309
South,Atlanta,2023-02-12,Organic,0.965208153,76.402
South,Jacksonville,2023-01-22,Conventional,0.883887839,312.951
West,West Tex/New Mexico,2018-06-10,Organic,1.53,28.29
South,Roanoke,2023-05-07,Organic,1.275407116,17.115
Midwest,St. Louis,2018-08-12,Conventional,1.18,230.822
West,San Francisco,2021-08-22,Conventional,1.64222203,722.873
South,Atlanta,2024-09-22,Conventional,1.175721326,827.509
South,Houston,2022-03-06,Organic,1.451771809,31.629
South,Nashville,2019-10-27,Conventional,0.94,265.97
South,South Carolina,2017-04-02,Conventional,1.38,366.511
West,Sacramento,2018-07-01,Conventional,1.24,621.096
South,Baltimore/Washington,2024-07-07,Organic,1.408306523,101.186
West,Spokane,2020-03-15,Conventional,1.49,113.86
West,Boise,2020-05-10,Conventional,1.22,156.547
West,Sacramento,2017-04-02,Conventional,1.58,385.735
Midwest,Columbus,2017-11-05,Conventional,0.96,222.75
South,Tampa,2018-02-25,Organic,1.37,9.145
West,Las Vegas,2023-06-04,Organic,1.268626274,20.44
South,Orlando,2019-01-20,Conventional,1.04,539.311
South,Nashville,2024-04-28,Organic,1.5352,25.927
South,Tampa,2022-04-24,Conventional,1.438567363,518.67
South,New Orleans/Mobile,2024-04-14,Organic,1.20546,18.767
West,Spokane,2019-07-21,Conventional,1.79,77.013
West,Portland,2017-04-30,Conventional,0.84,940.105
Northeast,Boston,2018-11-18,Conventional,1.47,573.891
South,Tampa,2024-11-24,Organic,1.480260149,31.276
South,New Orleans/Mobile,2017-11-19,Conventional,1.27,207.295
Northeast,Syracuse,2017-01-02,Conventional,1.55,64.285
Northeast,Pittsburgh,2024-07-28,Organic,1.568617717,10.098
Northeast,Boston,2022-10-30,Conventional,1.404263042,519.398
Northeast,Boston,2022-06-26,Organic,1.967737888,33.553
West,Sacramento,2017-06-18,Organic,2.48,7.059
Northeast,Pittsburgh,2017-02-19,Organic,1.45,8.806
South,Tampa,2024-06-16,Conventional,1.167078328,730.618
South,Houston,2024-01-14,Conventional,0.833115355,1189.585
West,San Diego,2017-02-19,Conventional,0.97,497.334
Northeast,Albany,2017-06-04,Organic,1.63,3.772
West,Seattle,2019-12-29,Conventional,1.09,636.458
West,San Francisco,2023-06-18,Conventional,1.666076923,605.03
South,Miami/Ft. Lauderdale,2021-01-31,Conventional,0.826765842,1449.985
Northeast,Hartford/Springfield,2021-07-25,Conventional,1.382585883,364.751
West,Denver,2023-12-10,Conventional,1.073143899,857.728
South,South Carolina,2017-01-08,Organic,1.48,9.553
West,Las Vegas,2020-05-03,Organic,1.5,16.043
West,Boise,2017-11-19,Organic,1.85,1.864
Northeast,Philadelphia,2024-02-25,Organic,1.036741216,76.158
South,Raleigh/Greensboro,2019-01-27,Conventional,1.04,424.275
South,Jacksonville,2017-09-10,Organic,2.35,4.094
South,Miami/Ft. Lauderdale,2018-09-16,Organic,1.14,15.362
South,Houston,2019-09-15,Conventional,0.91,1543.66
South,Roanoke,2021-08-01,Conventional,1.011409493,182.805
South,Miami/Ft. Lauderdale,2018-06-17,Conventional,1.12,1019.429
South,Miami/Ft. Lauderdale,2021-07-04,Organic,1.477670952,60.623
Midwest,Wichita,2023-09-10,Organic,1.318347033,5.336
Northeast,Boston,2019-05-05,Conventional,1.5,800.272
South,Houston,2019-12-29,Conventional,0.68,1324.465
South,Baltimore/Washington,2019-11-10,Organic,1.41,35.148
Northeast,Northern New England,2018-03-25,Conventional,1.46,483.125
South,Raleigh/Greensboro,2022-11-27,Conventional,1.089835402,375.607
Midwest,St. Louis,2021-05-16,Conventional,0.918251577,281.292
Midwest,Chicago,2022-12-18,Conventional,0.909645538,1090.429
South,Roanoke,2019-01-13,Organic,1.37,12.041
West,Sacramento,2020-10-11,Conventional,1.1,561.255
South,Orlando,2021-03-14,Conventional,0.858168526,747.678
South,Charlotte,2024-03-17,Conventional,1.007785,507.954
Northeast,Boston,2019-04-07,Conventional,1.25,906.206
South,Roanoke,2024-06-09,Conventional,1.187171436,195.871
West,San Diego,2021-03-14,Organic,1.695047998,37.71
South,Tampa,2020-04-05,Organic,1.18,11.945
Northeast,Syracuse,2020-07-26,Organic,1.21,6.457
South,Louisville,2022-05-22,Conventional,1.443095927,118.139
South,New Orleans/Mobile,2024-04-28,Conventional,0.95836,319.28
South,Raleigh/Greensboro,2018-07-22,Conventional,1.2,349.538
West,Boise,2020-03-29,Organic,1.86,5.54
South,Nashville,2018-05-27,Conventional,0.99,291.903
Northeast,Harrisburg/Scranton,2019-01-07,Conventional,1.02,379.286
South,Orlando,2019-12-01,Conventional,0.88,428.057
Midwest,Cincinnati/Dayton,2019-12-29,Conventional,0.8,260.829
South,Nashville,2023-04-16,Conventional,0.890160639,346.512
West,Las Vegas,2023-07-02,Conventional,1.099918985,409.939
Northeast,Buffalo/Rochester,2018-06-24,Organic,1.09,22.949
West,Boise,2018-01-21,Conventional,1.25,88.728
Midwest,Chicago,2024-12-15,Conventional,0.997985254,1304.084
Northeast,Syracuse,2020-07-05,Organic,1.61,4.281
Northeast,Northern New England,2022-01-02,Conventional,1.038855669,622.991
West,Spokane,2024-09-08,Organic,2.699147661,5.604
South,Jacksonville,2018-03-11,Conventional,1.16,227.715
South,Houston,2023-04-23,Conventional,0.778113177,1096.349
Midwest,St. Louis,2024-06-02,Conventional,0.942953757,299.98
West,Las Vegas,2019-07-21,Conventional,1.43,301.78
West,Sacramento,2023-08-20,Conventional,1.4947402890000001,461.527
Northeast,Philadelphia,2024-09-15,Conventional,1.244607768,673.649
South,Baltimore/Washington,2021-11-28,Conventional,1.22698807,956.083
West,San Francisco,2021-10-10,Conventional,1.616959609,717.579
South,South Carolina,2019-03-10,Organic,1.31,23.457
Midwest,Indianapolis,2022-06-26,Organic,1.930953111,15.138
Midwest,Cincinnati/Dayton,2020-08-09,Conventional,0.92,355.08
West,Boise,2021-08-22,Organic,1.826422236,7.956
West,Denver,2023-02-19,Conventional,1.031611043,960.467
West,Phoenix/Tucson,2019-08-04,Organic,1.75,15.746
Northeast,Northern New England,2018-01-21,Conventional,1.33,577.117
Northeast,Harrisburg/Scranton,2024-08-04,Organic,1.486203047,25.205
South,New Orleans/Mobile,2019-07-28,Organic,1.09,8.996
West,San Francisco,2021-07-18,Conventional,1.530370441,697.707
South,Louisville,2022-01-16,Organic,1.410081357,10.122
South,Miami/Ft. Lauderdale,2020-06-21,Conventional,1.17,1030.7
West,Portland,2022-08-07,Conventional,1.416639974,699.742
Northeast,Hartford/Springfield,2018-11-25,Conventional,1.47,203.104
West,Los Angeles,2017-09-24,Organic,2.21,4.157
South,Baltimore/Washington,2017-01-08,Conventional,1.14,1029.28
Midwest,Indianapolis,2023-09-10,Organic,1.635454999,14.349
South,Houston,2018-11-25,Conventional,0.93,617.603
Midwest,Indianapolis,2019-04-07,Conventional,0.92,258.182
South,Charlotte,2021-01-17,Conventional,0.94634859,446.448
South,Miami/Ft. Lauderdale,2021-11-28,Conventional,1.059284918,873.105
West,Phoenix/Tucson,2020-02-23,Conventional,0.67,1547.088
South,New Orleans/Mobile,2018-08-12,Conventional,1.19,274.32
Midwest,St. Louis,2018-04-22,Conventional,1.31,182.742
South,Raleigh/Greensboro,2024-12-15,Conventional,1.102636281,447.465
West,Denver,2023-12-03,Conventional,0.98684886,896.588
